"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
304,Aron,,,,,,70,72,,,,166,,,99,,,,,,,,,,,,,191,,,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,1′04″,0.4,132.3,60,,,1,,,,66,180,Slow,35,Gray,Neutral,35,Monster,,Lv. 32
305,Lairon,,,,,,71,73,,,,167,,,100,,,,,,,,,,,,,192,,,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,2′11″,0.9,264.6,120,,,2,,,,151,90,Slow,35,Gray,Neutral,35,Monster,,Lv. 42
306,Aggron,,,,,,72,74,,,,168,,,101,,,,,,,,,,,,,193,,,70,110,180,60,60,50,530,Steel,Rock,Sturdy,Rock Head,Heavy Metal,6′11″,2.1,793.7,360,,,3,,,,265,45,Slow,35,Gray,Neutral,35,Monster,,
306.1,Aggron (Mega),Mega Evolution,,,,,,74,,,,,,,101,,,,,,,,,,,,,,,,70,140,230,60,80,50,630,Steel,,Filter,,,7′03″,2.2,870.8,395,,,3,,,,315,45,Slow,35,Gray,Neutral,35,Monster,,
307,Meditite,,,,,,76,78,86,86,,,143,,,,,,,,,,,,,,,,,161,30,40,55,40,55,60,280,Fighting,Psychic,Pure Power,,Telepathy,2′00″,0.6,24.7,11.2,,,,,,1,56,180,Med Fast,50,Blue,Neutral,20,Human-Like,,Lv. 37
308,Medicham,,,,,,77,79,87,87,,,144,,,,,,,,,,,,,,,,,162,60,60,75,60,75,80,410,Fighting,Psychic,Pure Power,,Telepathy,4′03″,1.3,69.4,31.5,,,,,,2,144,90,Med Fast,50,Red,Neutral,20,Human-Like,,
308.1,Medicham (Mega),Mega Evolution,,,,,,79,,,,,144,,,,,,,,,,,,,,,,,,60,100,85,80,85,100,510,Fighting,Psychic,Pure Power,,,4′03″,1.3,69.4,31.5,,,,,,2,179,90,Med Fast,50,Red,Neutral,20,Human-Like,,
309,Electrike,,,,,,78,80,,,,,,73,,,,,,,293,,,114,,66,,,,,40,45,40,65,40,65,295,Electric,,Static,Lightningrod,Minus,2′00″,0.6,33.5,15.2,,,,,,1,59,120,Slow,50,Green,Neutral,20,Field,,Lv. 26
310,Manectric,,,,,,79,81,,,,,,74,,,,,,,294,,,115,,67,,,,,70,75,60,105,60,105,475,Electric,,Static,Lightningrod,Minus,4′11″,1.5,88.6,40.2,,,,,,2,166,45,Slow,50,Yellow,Neutral,20,Field,,
310.1,Manetric (Mega),Mega Evolution,,,,,,81,,,,,,74,,,,,,,294,,,115,,,,,,,70,75,80,135,80,135,575,Electric,,Intimidate,,,5′11″,1.8,97,44,,,,,,2,201,45,Slow,50,Yellow,Neutral,20,Field,,
311,Plusle,,,,,,80,82,,,,,96,,,,,,,,,,,,,,,,,,60,50,40,85,75,95,405,Electric,,Plus,,,1′04″,0.4,9.3,4.2,,,,,,1,142,200,Med Fast,50,Yellow,Neutral,20,Fairy,,
312,Minun,,,,,,81,83,,,,,97,,,,,,,,,,,,,,,,,,60,40,50,75,85,95,405,Electric,,Minus,,,1′04″,0.4,9.3,4.2,,,,,,1,142,200,Med Fast,50,Yellow,Neutral,20,Fairy,,
313,Volbeat,,,,,,86,89,,,,,133,,,,,,,,,,,,,,,,,,65,73,75,47,85,85,430,Bug,,Illuminate,Swarm,Prankster,2′04″,0.7,39,17.7,,,,,,1,151,150,Erratic,50,Gray,M (100%),15,Bug,Human-Like,
314,Illumise,,,,,,87,90,,,,,134,,,,,,,,,,,,,,,,,,65,47,75,73,85,85,430,Bug,,Oblivious,Tinted Lens,Prankster,2′00″,0.6,39,17.7,,,,,,1,151,150,Fluctuating,50,Purple,F (100%),15,Bug,Human-Like,
315,Roselia,,,,,,94,98,26,26,,134,72,,,,,,,,,,,,,60,,,90,,50,60,45,100,80,65,400,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,1′00″,0.3,4.4,2,,,,2,,,140,150,Med Slow,50,Green,Neutral,20,Fairy,Grass,Shiny Stone
316,Gulpin,,,,,,95,100,,,,,98,,,,,,,,,,,,,,,,,139,70,43,53,43,53,40,302,Poison,,Liquid Ooze,Sticky Hold,Gluttony,1′04″,0.4,22.7,10.3,1,,,,,,60,225,Fluctuating,50,Green,Neutral,20,Amorphous,,Lv. 26
317,Swalot,,,,,,96,101,,,,,99,,,,,,,,,,,,,,,,,140,100,73,83,73,83,55,467,Poison,,Liquid Ooze,Sticky Hold,Gluttony,5′07″,1.7,176.4,80,2,,,,,,163,75,Fluctuating,50,Purple,Neutral,20,Amorphous,,
318,Carvanha,,,,,,97,102,,,,,55,,,264,,,,79,345,,,,92,,111,,,,45,90,20,65,20,65,305,Water,Dark,Rough Skin,,Speed Boost,2′07″,0.8,45.9,20.8,,1,,,,,61,225,Slow,35,Red,Neutral,20,Water 2,,Lv. 30
319,Sharpedo,,,,,,98,103,,,,,56,,,265,,,,80,346,,,,93,,112,,,,70,120,40,95,40,95,460,Water,Dark,Rough Skin,,Speed Boost,5′11″,1.8,195.8,88.8,,2,,,,,161,60,Slow,35,Blue,Neutral,20,Water 2,,
319.1,Sharpedo (Mega),Mega Evolution,,,,,,103,,,,,,,,265,,,,80,346,,,,93,,,,,,70,140,70,110,65,105,560,Water,Dark,Strong Jaw,,,8′02″,2.5,287.3,130.3,,2,,,,,196,60,Slow,35,Blue,Neutral,20,Water 2,,
320,Wailmer,,,,,,99,104,,,,240,,27,,266,,,,81,351,,,,98,356,190,,,,130,70,35,70,35,60,400,Water,,Water Veil,Oblivious,Pressure,6′07″,2,286.6,130,1,,,,,,80,125,Fluctuating,50,Blue,Neutral,40,Field,Water 2,Lv. 40
321,Wailord,,,,,,100,105,,,,241,,28,,267,,,,82,352,,,,99,357,191,,,,170,90,45,90,45,60,500,Water,,Water Veil,Oblivious,Pressure,47′07″,14.5,877.4,398,2,,,,,,175,60,Fluctuating,50,Blue,Neutral,40,Field,Water 2,
322,Numel,,,,,,101,106,,,,204,,,,,,,,,,,,,,,,,,151,60,60,40,65,45,35,305,Fire,Ground,Oblivious,Simple,Own Tempo,2′04″,0.7,52.9,24,,,,1,,,61,255,Med Fast,50,Yellow,Neutral,20,Field,,Lv. 33
323,Camerupt,,,,,,102,107,,,,205,,,,,,,,,,,,,,,,,,152,70,100,70,105,75,40,460,Fire,Ground,Magma Armor,Solid Rock,Anger Point,6′03″,1.9,485,220,,1,,1,,,161,150,Med Fast,50,Red,Neutral,20,Field,,
323.1,Camerupt (Mega),Mega Evolution,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,70,120,100,145,105,20,560,Fire,Ground,Sheer Force,,,8′02″,2.5,706.6,320.5,,1,,1,,,196,150,Med Fast,50,Red,Neutral,20,Field,,
324,Torkoal,,,,,,105,110,,,,,,,96,223,,,95,,287,,,108,,300,173,,,150,70,85,140,85,70,20,470,Fire,,White Smoke,Drought,Shell Armor,1′08″,0.5,177.3,80.4,,,2,,,,165,90,Med Fast,50,Brown,Neutral,20,Field,,
325,Spoink,,,,,,110,115,,,,206,,7,,,,,,,,,,,,,,,,111,60,25,35,70,80,60,330,Psychic,,Thick Fat,Own Tempo,Gluttony,2′04″,0.7,67.5,30.6,,,,,1,,66,255,Fast,50,Black,Neutral,20,Field,,Lv. 32
326,Grumpig,,,,,,111,116,,,,207,,8,,,,,,,,,,,,,,,,112,80,45,65,90,110,80,470,Psychic,,Thick Fat,Own Tempo,Gluttony,2′11″,0.9,157.6,71.5,,,,,2,,165,60,Fast,50,Purple,Neutral,20,Field,,
327,Spinda,,,,,,114,119,,,,,,,131,105,105,,,,128,128,,,,,,,,,60,60,60,60,60,60,360,Normal,,Own Tempo,Tangled Feet,Contrary,3′07″,1.1,11,5,,,,1,,,126,255,Fast,50,Brown,Neutral,15,Field,Human-Like,
328,Trapinch,,,,,,116,121,,,,121,,,3,235,,,107,,304,,,125,,321,,,,,45,100,45,45,45,10,290,Ground,,Hyper Cutter,Arena Trap,Sheer Force,2′04″,0.7,33.1,15,,1,,,,,58,255,Med Slow,50,Brown,Neutral,20,Bug,Dragon,Lv. 35
329,Vibrava,,,,,,117,122,,,,122,,,4,236,,,108,,305,,,126,,322,,,,,50,70,50,50,50,70,340,Ground,Dragon,Levitate,,,3′07″,1.1,33.7,15.3,,1,,,,1,119,120,Med Slow,50,Green,Neutral,20,Bug,Dragon,Lv. 45
330,Flygon,,,,,,118,123,,,,123,,,5,237,,,109,,306,,,127,,323,,,,,80,100,80,80,80,100,520,Ground,Dragon,Levitate,,,6′07″,2,180.8,82,,1,,,,2,260,45,Med Slow,50,Green,Neutral,20,Bug,Dragon,
331,Cacnea,,,,,,119,124,,,,,,,,,,,,,,,,,,,,,,252,50,85,40,85,40,35,335,Grass,,Sand Veil,,Water Absorb,1′04″,0.4,113.1,51.3,,,,1,,,67,190,Med Slow,35,Green,Neutral,20,Grass,Human-Like,Lv. 32
332,Cacturne,,,,,,120,125,,,,,,,,,,,,,,,,,,,,,,253,70,115,60,115,60,55,475,Grass,Dark,Sand Veil,,Water Absorb,4′03″,1.3,170.6,77.4,,1,,1,,,166,60,Med Slow,35,Green,Neutral,20,Grass,Human-Like,
333,Swablu,,,,,,121,126,,171,,246,,,139,,,,,,,,,,,,,35,,219,45,40,60,40,75,50,310,Normal,Flying,Natural Cure,,Cloud Nine,1′04″,0.4,2.6,1.2,,,,,1,,62,255,Erratic,50,Blue,Neutral,20,Flying,Dragon,Lv. 35
334,Altaria,,,,,,122,127,,172,,247,,,140,,,,,,,,,,,,,36,,220,75,70,90,70,105,80,490,Dragon,Flying,Natural Cure,,Cloud Nine,3′07″,1.1,45.4,20.6,,,,,2,,172,45,Erratic,50,Blue,Neutral,20,Flying,Dragon,
334.1,Altaria (Mega),Mega Evolution,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,75,110,110,110,105,80,590,Dragon,Fairy,Pixilate,,,4′11″,1.5,45.4,20.6,,,,,2,,207,45,Erratic,50,Blue,Neutral,20,Flying,Dragon,
335,Zangoose,,,,,,123,128,,,,186,,5,,,,,,,,,,,,,,,,217,73,115,60,60,60,90,458,Normal,,Immunity,,Poison Rampage,4′03″,1.3,88.8,40.3,,2,,,,,160,90,Erratic,50,White,Neutral,20,Field,,
336,Seviper,,,,,,124,129,,,,187,,6,,,,,,,,,,,,,,,,218,73,100,60,100,60,65,458,Poison,,Shed Skin,,Infiltrator,8′10″,2.7,115.7,52.5,,1,,1,,,160,90,Fluctuating,50,Black,Neutral,20,Field,Dragon,
337,Lunatone,,,,,,125,130,,,,214,,12,,,,,,,,,,,,362,,,,,90,55,65,95,85,70,460,Rock,Psychic,Levitate,,,3′03″,1,370.4,168,,,,2,,,161,45,Fast,50,Yellow,None,25,Mineral,,
338,Solrock,,,,,,126,131,,,,215,,13,,,,,,,,,,,,363,,,,,90,95,85,55,65,70,460,Rock,Psychic,Levitate,,,3′11″,1.2,339.5,154,,2,,,,,161,45,Fast,50,Red,None,25,Mineral,,
339,Barboach,,,,,,127,132,80,80,,,,,40,93,93,36,,43,113,113,36,,55,228,137,60,97,168,50,48,43,46,41,60,288,Water,Ground,Oblivious,Anticipation,Hydration,1′04″,0.4,4.2,1.9,1,,,,,,58,190,Med Fast,50,Gray,Neutral,20,Water 2,,Lv. 30
340,Whiscash,,,,,,128,133,81,81,,,,,41,94,94,37,,44,114,114,37,,56,229,138,61,98,169,110,78,73,76,71,60,468,Water,Ground,Oblivious,Anticipation,Hydration,2′11″,0.9,52,23.6,2,,,,,,164,75,Med Fast,50,Blue,Neutral,20,Water 2,,
341,Corphish,,,,,,129,134,,,,279,51,,,,,,,,357,,,,104,102,91,,,,43,80,65,50,35,35,308,Water,,Hyper Cutter,Shell Armor,Adaptability,2′00″,0.6,25.4,11.5,,1,,,,,62,205,Fluctuating,50,Red,Neutral,15,Water 1,Water 3,Lv. 30
342,Crawdaunt,,,,,,130,135,,,,280,52,,,,,,,,358,,,,105,103,92,,,,63,120,85,90,55,55,468,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,3′07″,1.1,72.3,32.8,,2,,,,,164,155,Fluctuating,50,Red,Neutral,15,Water 1,Water 3,
343,Baltoy,,,,,,131,136,,,,169,,,,,,,,,310,,,131,,82,,151,,,40,40,55,40,70,55,300,Ground,Psychic,Levitate,,,1′08″,0.5,47.4,21.5,,,,,1,,60,255,Med Fast,50,Brown,None,20,Mineral,,Lv. 36
344,Claydol,,,,,,132,137,,,,170,,,,,,,,,311,,,132,,83,,152,,,60,70,105,70,120,75,500,Ground,Psychic,Levitate,,,4′11″,1.5,238.1,108,,,,,2,,175,90,Med Fast,50,Black,None,20,Mineral,,
345,Lileep,Fossil,,,,,133,138,,,,,,,,,,,,,231,,132,,,,,183,,,66,41,77,61,87,23,355,Rock,Grass,Suction Cups,,Storm Drain,3′03″,1,52.5,23.8,,,,,1,,71,45,Erratic,50,Purple,M (87.5%),30,Water 3,,Lv. 40
346,Cradily,Fossil,,,,,134,139,,,,,,,,,,,,,232,,133,,,,,184,,,86,81,97,81,107,43,495,Rock,Grass,Suction Cups,,Storm Drain,4′11″,1.5,133.2,60.4,,,,,2,,173,45,Erratic,50,Green,M (87.5%),30,Water 3,,
347,Anorith,Fossil,,,,,135,140,,,,,,,,,,,,,233,,134,,,,,185,,,45,95,50,40,50,75,355,Rock,Bug,Battle Armor,,Swift Swim,2′04″,0.7,27.6,12.5,,1,,,,,71,45,Erratic,50,Gray,M (87.5%),30,Water 3,,Lv. 40
348,Armaldo,Fossil,,,,,136,141,,,,,,,,,,,,,234,,135,,,,,186,,,75,125,100,70,80,45,495,Rock,Bug,Battle Armor,,Swift Swim,4′11″,1.5,150.4,68.2,,2,,,,,173,45,Erratic,50,Gray,M (87.5%),30,Water 3,,
349,Feebas,,,,,,140,145,138,138,,,,,,155,,82,,,189,,90,,,152,,188,,,20,15,20,10,55,80,200,Water,,Swift Swim,,Adaptability,2′00″,0.6,16.3,7.4,,,,,,1,40,255,Erratic,50,Brown,Neutral,20,Water 1,Dragon,Trade (Holding Prism Scale)
350,Milotic,,,,,,141,146,139,139,,,,,,156,,83,,,190,,91,,,153,,189,,,95,60,79,100,125,81,540,Water,,Marvel Scale,Competitive,Cute Charm,20′04″,6.2,357.1,162,,,,,2,,189,60,Erratic,50,Pink,Neutral,20,Water 1,Dragon,
351,Castform (Normal),,,,,,142,147,,,,163,,,,181,,108,77,69,220,,121,84,82,,,,,,70,70,70,70,70,70,420,Normal,,Forecast,,,1′00″,0.3,1.8,0.8,1,,,,,,147,45,Med Fast,50,Gray,Neutral,25,Fairy,Amorphous,
351.1,Castform (Rainy),,,,,,142,147,,,,163,,,,181,,108,77,69,220,,121,84,82,,,,,,70,70,70,70,70,70,420,Water,,Forecast,,,1′00″,0.3,1.8,0.8,1,,,,,,147,45,Med Fast,50,Blue,Neutral,25,Fairy,Amorphous,
351.2,Castform (Snowy),,,,,,142,147,,,,163,,,,181,,108,77,69,220,,121,84,82,,,,,,70,70,70,70,70,70,420,Ice,,Forecast,,,1′00″,0.3,1.8,0.8,1,,,,,,147,45,Med Fast,50,White,Neutral,25,Fairy,Amorphous,
351.3,Castform (Sunny),,,,,,142,147,,,,163,,,,181,,108,77,69,220,,121,84,82,,,,,,70,70,70,70,70,70,420,Fire,,Forecast,,,1′00″,0.3,1.8,0.8,1,,,,,,147,45,Med Fast,50,Red,Neutral,25,Fairy,Amorphous,
352,Kecleon,,,,,,145,150,,,,,116,,,,,,,,214,,115,,,,,,,,60,90,70,60,120,40,440,Normal,,Color Change,,,3′03″,1,48.5,22,,,,,1,,154,200,Med Slow,50,Green,Neutral,20,Field,,
353,Shuppet,,,,,,146,151,,,,210,,,122,,,,,,316,,,137,,,,,,298,44,75,35,63,33,45,295,Ghost,,Insomnia,Frisk,Cursed Body,2′00″,0.6,5.1,2.3,,1,,,,,59,225,Fast,35,Black,Neutral,25,Amorphous,,Lv. 37
354,Banette,,,,,,147,152,,,,211,,,123,,,,,,317,,,138,,,,,,299,64,115,65,83,63,65,455,Ghost,,Insomnia,Frisk,Cursed Body,3′07″,1.1,27.6,12.5,,2,,,,,159,45,Fast,35,Black,Neutral,25,Amorphous,,
354.1,Banette (Mega),Mega Evolution,,,,,,152,,,,,,,123,,,,,,317,,,138,,,,,,,64,165,75,93,83,75,555,Ghost,,Prankster,,,3′11″,1.2,28.7,13,,2,,,,,194,45,Fast,35,Black,Neutral,25,Amorphous,,
355,Duskull,,,,,,148,153,,189,,,,,,,,,,,,,,,,135,,,158,,20,40,90,30,90,25,295,Ghost,,Levitate,,,2′07″,0.8,33.1,15,,,,,1,,59,190,Fast,35,Black,Neutral,25,Amorphous,,Lv. 37
356,Dusclops,,,,,,149,154,,190,,,,,,,,,,,,,,,,136,,,159,,40,70,130,60,130,25,455,Ghost,,Pressure,,,5′03″,1.6,67.5,30.6,,,1,,1,,159,90,Fast,35,Black,Neutral,25,Amorphous,,Trade (Holding Reaper Cloth)
357,Tropius,,,,,,150,156,,185,,288,,,,,,,,,354,,,,101,,,,,246,99,68,83,72,87,51,460,Grass,Flying,Chlorophyll,Solar Power,Harvest,6′07″,2,220.5,100,2,,,,,,161,200,Slow,50,Green,Neutral,25,Monster,Grass,
358,Chimecho,,,,,,151,158,83,83,,,,112,,,,,,,,,,,,,,,196,,75,50,89,95,90,65,464,Psychic,,Levitate,,,2′00″,0.6,2.2,1,,,,1,1,,159,45,Fast,50,Blue,Neutral,25,Amorphous,,
359,Absol,,,,,,152,159,,209,,216,,9,,245,,,117,,322,,,143,,,,107,,,65,130,60,75,60,75,465,Dark,,Pressure,Super Luck,Justified,3′11″,1.2,103.6,47,,2,,,,,163,30,Med Slow,35,White,Neutral,25,Field,,
359.1,Absol (Mega),Mega Evolution,,,,,,159,,,,,,9,,245,,,117,,322,,,143,,,,,,,65,150,60,115,60,115,565,Dark,,Magic Bounce,,,3′11″,1.2,108,49,,2,,,,,198,30,Med Slow,35,White,Neutral,25,Field,,
360,Wynaut,Baby,,,,,160,167,,,,,,118,,,,,,,,,,,,216,,,,,95,23,48,23,48,23,260,Psychic,,Shadow Tag,,Telepathy,2′00″,0.6,30.9,14,1,,,,,,52,125,Med Fast,50,Blue,Neutral,20,Undiscovered,,Lv. 15
361,Snorunt,,,,,,171,179,,206,,,,,,246,,,118,,323,,,144,,79,,25,205,357,50,50,50,50,50,50,300,Ice,,Inner Focus,Ice Body,Moody,2′04″,0.7,37,16.8,1,,,,,,60,190,Med Fast,50,Gray,Neutral,20,Fairy,Mineral,Lv. 42/Dawn Stone (Female)
362,Glalie,,,,,,172,180,,207,,,,,,247,,,119,,324,,,145,,80,,26,206,358,80,80,80,80,80,80,480,Ice,,Inner Focus,Ice Body,Moody,4′11″,1.5,565.5,256.5,2,,,,,,168,75,Med Fast,50,Gray,Neutral,20,Fairy,Mineral,
362.1,Glalie (Mega),Mega Evolution,,,,,,180,,,,,,,,247,,,119,,324,,,145,,,,,,,80,120,80,120,80,100,580,Ice,,Refrigerate,,,6′11″,2.1,772.1,350.2,2,,,,,,203,75,Med Fast,50,Gray,Neutral,20,Fairy,Mineral,
363,Spheal,,,,,,173,182,,,,243,,,,,,,,,,,,,,,,159,143,,70,40,50,55,50,25,290,Ice,Water,Thick Fat,Ice Body,Oblivious,2′07″,0.8,87.1,39.5,1,,,,,,58,255,Med Slow,50,Blue,Neutral,20,Water 1,Field,Lv. 32
364,Sealeo,,,,,,174,183,,,,244,,,,,,,,,,,,,,,,160,144,,90,60,70,75,70,45,410,Ice,Water,Thick Fat,Ice Body,Oblivious,3′07″,1.1,193.1,87.6,2,,,,,,144,120,Med Slow,50,Blue,Neutral,20,Water 1,Field,Lv. 44
365,Walrein,,,,,,175,184,,,,245,,,,,,,,,,,,,,,,161,145,,110,80,90,95,90,65,530,Ice,Water,Thick Fat,Ice Body,Oblivious,4′07″,1.4,332,150.6,3,,,,,,265,45,Med Slow,50,Blue,Neutral,20,Water 1,Field,
366,Clamperl,,,,,,176,185,,,,,,141,,,,,,,140,140,,61,,,,,,,35,64,85,74,55,32,345,Water,,Shell Armor,,Rattled,1′04″,0.4,115.7,52.5,,,1,,,,69,255,Erratic,50,Blue,Neutral,20,Water 1,,Trade (Holding Deep Sea Tooth)/Trade (Holding Deep Sea Scale)
367,Huntail,,,,,,177,186,,,,,,142,,,,,,,141,141,,62,,,,,,,55,104,105,94,75,52,485,Water,,Swift Swim,,Water Veil,5′07″,1.7,59.5,27,,1,1,,,,170,60,Erratic,50,Blue,Neutral,20,Water 1,,
368,Gorebyss,,,,,,178,187,,,,,,143,,,,,,,142,142,,63,,,,,,,55,84,105,114,75,52,485,Water,,Swift Swim,,Hydration,5′11″,1.8,49.8,22.6,,,,2,,,170,60,Erratic,50,Pink,Neutral,20,Water 1,,
369,Relicanth,,,,,,179,188,,,,,,42,,262,,,,77,343,,,,90,,,187,,,100,90,130,45,65,55,485,Water,Rock,Swift Swim,Rock Head,Sturdy,3′03″,1,51.6,23.4,1,,1,,,,170,25,Slow,50,Gray,M (87.5%),40,Water 1,Water 2,
370,Luvdisc,,,,,,183,192,,,,,,29,,111,111,43,,,134,134,43,,,,,,,332,43,30,55,40,65,97,330,Water,,Swift Swim,,Hydration,2′00″,0.6,19.2,8.7,,,,,,1,116,225,Fast,50,Pink,F (75%),20,Water 2,,
371,Bagon,Pseudo Legendary,,,,,187,196,,,,,,14,,117,117,,,,147,147,,,,,,113,,276,45,75,60,40,30,50,300,Dragon,,Rock Head,,Sheer Force,2′00″,0.6,92.8,42.1,,1,,,,,60,45,Slow,35,Blue,Neutral,40,Dragon,,Lv. 30
372,Shelgon,Pseudo Legendary,,,,,188,197,,,,,,15,,118,118,,,,148,148,,,,,,114,,277,65,95,100,60,50,50,420,Dragon,,Rock Head,,Overcoat,3′07″,1.1,243.6,110.5,,,2,,,,147,45,Slow,35,White,Neutral,40,Dragon,,Lv. 50
373,Salamence,Pseudo Legendary,,,,,189,198,,,,,,16,,119,119,,,,149,149,,,,,,115,,278,95,135,80,110,80,100,600,Dragon,Flying,Intimidate,,Moxie,4′11″,1.5,226.2,102.6,,3,,,,,300,45,Slow,35,Blue,Neutral,40,Dragon,,
373.1,Salamence (Mega),"Psuedo Legendary, Mega Evolution",,,,,,198,,,,,,,,119,119,,,,149,149,,,,,,,,,95,145,130,120,90,120,700,Dragon,Flying,Aerilate,,,5′11″,1.8,248.2,112.6,,3,,,,,350,45,Slow,35,Blue,Neutral,40,Dragon,,
374,Beldum,Pseudo Legendary,,,,,190,199,,,,262,,,,214,,,86,,278,,,99,,,,129,,,40,55,80,35,60,30,300,Steel,Psychic,Clear Body,,Light Metal,2′00″,0.6,209.9,95.2,,,1,,,,60,3,Slow,35,Blue,None,40,Mineral,,Lv. 20
375,Metang,Pseudo Legendary,,,,,191,200,,,,263,,,,215,,,87,,279,,,100,,,,130,,,60,75,100,55,80,50,420,Steel,Psychic,Clear Body,,Light Metal,3′11″,1.2,446.4,202.5,,,2,,,,147,3,Slow,35,Blue,None,40,Mineral,,Lv. 45
376,Metagross,Pseudo Legendary,,,,,192,201,,,,264,,,,216,,,88,,280,,,101,,,,131,,,80,135,130,95,90,70,600,Steel,Psychic,Clear Body,,Light Metal,5′03″,1.6,1212.5,550,,,3,,,,300,3,Slow,35,Blue,None,40,Mineral,,
376.1,Metagross (Mega),"Psuedo Legendary, Mega Evolution",,,,,,201,,,,,,,,216,,,88,,280,,,101,,,,,,,80,145,150,105,110,110,700,Steel,Psychic,Tough Claws,,,8′02″,2.5,2078.7,942.9,,,3,,,,350,3,Slow,35,Blue,None,40,Mineral,,
377,Regirock,Sub-Legendary,,,,,193,202,,,,,,,,,,,,,,,,,,,,197,,,80,100,200,50,100,50,580,Rock,,Clear Body,,Sturdy,5′07″,1.7,507.1,230,,,3,,,,290,3,Slow,35,Brown,None,80,Undiscovered,,
378,Regice,Sub-Legendary,,,,,194,203,,,,,,,,,,,,,,,,,,,,198,,,80,50,100,100,200,50,580,Ice,,Clear Body,,Ice Body,5′11″,1.8,385.8,175,,,,,3,,290,3,Slow,35,Blue,None,80,Undiscovered,,
379,Registeel,Sub-Legendary,,,,,195,204,,,,,,,,,,,,,,,,,,,,199,,,80,75,150,75,150,50,580,Steel,,Clear Body,,Light Metal,6′03″,1.9,451.9,205,,,2,,1,,290,3,Slow,35,Gray,None,80,Undiscovered,,
380,Latias,Sub-Legendary,,,,,196,205,,,,,,,,,,,,,,,,,,,,,,,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,,,4′07″,1.4,88.2,40,,,,,3,,300,3,Slow,90,Red,F (100%),120,Undiscovered,,
380.1,Latias,"Legendary, Mega Evolution",,,,,,205,,,,,,,,,,,,,,,,,,,,,,,80,100,120,140,150,110,700,Dragon,Psychic,Levitate,,,4′07″,1.4,88.2,40,,,,,3,,350,3,Slow,90,Purple,F (100%),120,Undiscovered,,
381,Latios,Sub-Legendary,,,,,197,206,,,,,,,,,,,,,,,,,,,,,,,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,,,6′07″,2,132.3,60,,,,3,,,300,3,Slow,90,Blue,M (100%),120,Undiscovered,,
381.1,Latios,"Legendary, Mega Evolution",,,,,,206,,,,,,,,,,,,,,,,,,,,,,,80,130,100,160,120,110,700,Dragon,Psychic,Levitate,,,6′07″,2,132.3,60,,,,3,,,350,3,Slow,90,Purple,M (100%),120,Undiscovered,,
382,Kyogre,Legendary,,,,,198,207,,,,,,,,,,,,,,,,,,,,,,,100,100,90,150,140,90,670,Water,,Drizzle,,,14′09″,4.5,776,352,,,,3,,,335,5,Slow,0,Blue,None,120,Undiscovered,,
382.1,Kyogre (Primal),"Legendary, Primal Reversion",,,,,,207,,,,,,,,,,,,,,,,,,,,,,,100,150,90,180,160,90,770,Water,,Primordial Sea,,,32′02″,9.8,948,430,,,,3,,,385,5,Slow,0,Blue,None,120,Undiscovered,,
383,Groudon,Legendary,,,,,199,208,,,,,,,,,,,,,,,,,,,,,,,100,150,140,100,90,90,670,Ground,,Drought,,,11′06″,3.5,2094.4,950,,3,,,,,335,5,Slow,0,Red,None,120,Undiscovered,,
383.1,Groudon (Primal),"Legendary, Primal Reversion",,,,,,208,,,,,,,,,,,,,,,,,,,,,,,100,180,160,150,90,90,770,Ground,Fire,Desolate Land,,,16′05″,5,2204,999.7,,3,,,,,385,5,Slow,0,Red,None,120,Undiscovered,,
